Study_Hours,Attendance_Percentage,Previous_Exam_Marks,Assignment_Marks,Internal_Marks,Practice_Test_Score,Sleep_Hours,Final_Exam_Marks
3.4,94.4,30.1,56.3,68.2,94.9,8.9,75
6.6,99.8,77.4,40.4,67.1,79.7,5,84.4
4.7,71.6,92.8,98.7,46.7,59.3,5.1,76
6,75.2,44.6,97.9,45,66.2,5.5,67.3
4.9,87.5,73.1,63.7,90,35.9,4.9,64.2
3.7,94.9,78.2,83.7,54.7,98.9,5.9,74.7
9.5,81.7,85.1,60.7,57.3,76.6,8.6,83.7
7.9,72.6,57.5,80.3,80.6,50,7.1,80.7
2.3,73.6,49.7,88.3,55.3,71,6.1,64.1
8.8,86.3,51.1,96.8,92.1,37.7,8.7,80.9
5.4,55.1,76.3,64,79.3,97.6,4.2,78.6
9.1,82.9,83.1,87,70.8,42.2,5.1,87.9
8.2,71,41.8,56,87.9,75.4,6.8,80.2
4.8,90.7,54.1,99.4,38,47.2,7.1,61.3
1.2,59.2,88.6,41.5,50.4,80.2,4.2,62.5
3.4,81.5,82.4,76.2,62.9,84.4,6,72.7
5.9,76.6,94,79.6,48.6,77.1,7.2,87
6.7,83.9,79,81.3,79.6,73,7.5,91.2
3.3,57.9,55.6,47.2,90.2,92.5,7.2,68.9
2.3,81.1,68.4,96.3,60.4,35.5,5.6,64.2
8.5,80.3,73,50.9,55.5,53.2,4.5,72.6
9.9,80.2,35.1,77.4,92.7,47.4,6.1,70.9
5.7,82.2,65.4,53.4,61.7,99.2,4.6,77.1
2.5,85.4,76.1,58.4,64.3,57.3,8.7,70.4
3.5,91.2,40.9,72.8,56.1,81.3,6.4,71
1.2,67.1,80.7,65,89.6,77.9,5.6,69.8
9.2,92.1,67.9,49.6,69.1,44.8,7.8,77.9
2.1,77.4,91.9,50.3,80.7,46.7,6.5,66.1
6.2,58.5,32.8,65.1,83.7,49.7,5.6,62
3.5,57.6,47.2,85.4,55.5,58.8,8.1,60.7
6,70,69.1,93.9,61,46.4,8.3,81.8
6.9,90.3,49.3,45,85.9,31.4,7.4,68.4
8.5,86.8,76.4,63.6,56.8,91.6,4.2,84.1
2.9,90.5,79.3,46,82.6,97.6,6.8,78
1.1,78.3,36.7,41,91.5,53.9,7.8,54.5
2.2,74.8,63.4,79.7,72.4,53.7,4.7,66.2
9.1,61.6,63.1,76.1,79.5,30.5,5.1,79.5
8.9,69.8,54,49.8,83.3,77.6,8.4,77.6
6.4,74.5,90.6,54,85.7,87.8,4.1,88.6
6.4,59,83.8,41.4,58.7,40.3,7.8,68
7,64.9,75.3,90.1,38.1,41.2,6.4,71.1
2.6,81.9,76.4,98.5,59.1,85.3,6.2,80.2
9.2,88.1,60,48.1,75.4,73.1,4,76.8
4.8,99.9,89.9,53.9,62,33.1,8.1,75.8
4.4,97,75.1,92.1,79.9,73.6,5.8,82.7
5.7,83.9,77.4,95.6,56.4,51.6,6.7,79.7
1.4,74,86,65.2,73.1,55.8,7.4,62.3
2.5,83.6,47.8,43,46.2,83.9,7.5,53.8
7.6,90.4,82.5,42.4,80,86.8,8.8,91.5
1.7,60.3,42.7,74.4,67.7,58,6.7,64.4
6.4,73.4,52.4,63.6,47.2,96.3,6,69
3.2,92.8,51.8,41.7,52.5,58.5,8.8,62
4.5,72.3,93.6,75,79.9,84,7.2,87.8
3.6,80.7,85.7,40.7,64,63.9,5.5,73.5
4.2,81.4,75.6,87.2,48,92.8,4.6,68.5
7.5,63.3,77.3,58.4,93,93.5,8.2,86.7
3.7,71.3,66.5,42.4,77.9,36.1,5.8,63
6.1,70.1,91.6,75.3,92.4,95.6,7.3,96.3
5.3,56.2,62.3,63.9,60.6,87.8,6.4,83.1
7,56.1,54.7,98.4,63.5,85.4,5,77.6
9.4,92.4,40.6,72.7,88.9,44.1,7,74.9
7.6,67.3,81.1,56.5,66.5,86.4,4.3,82.8
2.9,78.3,77.7,82.6,77.4,89.5,6.1,85.7
1.3,68.4,55,56.3,50.1,50.2,6.7,56.3
3.4,97.3,31.6,94.3,61.8,96.7,6.2,68
6.4,66.7,84.5,62.5,42.4,33.5,7.7,75
1.5,74.3,30.7,73,47.4,40.5,8.1,55.4
5.5,94.3,75.7,43,35.1,67.6,7.9,66.8
6.4,92.9,93.1,65.6,37.4,70.3,4.2,79
4,63.4,58.4,89.9,93.6,75.2,5,81.4
7.9,91.1,45.3,88.3,49.5,31.2,6.7,75.5
2,75.6,75.8,53.5,74.8,97.2,8.7,76.5
1.7,76.7,83.1,53.6,85.3,33.1,8.2,68.7
7.6,61,65.5,89,68,40,8.2,83.7
5.5,58.6,92.9,95.8,44.2,31,5.5,68.6
7.2,87.8,33.4,45.7,78.7,69.7,6.1,72.4
4.9,77.3,62.8,67,71,95.3,6.4,72.7
3.2,74.7,76.7,60.2,78.9,76.6,4.8,78.4
8.4,87.8,86.1,92.2,81.2,87.6,4.2,93.5
8.2,89.4,41.7,45,93.5,30.9,8.7,79.6
7.3,62.2,82,52.7,69.4,67.9,5.2,80.5
3.4,82.5,65.9,85.1,55.5,62.2,5.2,65
6.3,61.1,55.8,43.1,73.9,64.9,4.4,73.7
4.2,88.8,38.6,69.6,39.1,35.1,8.6,65.3
1.8,84.6,86.2,66.5,88.8,77.9,6.9,83.5
9.3,98,40.2,60.1,42.2,65.2,7.3,69.9
2.2,58.1,50.1,63.7,54.7,83.6,8.6,63.1
9.6,57.6,48.9,71.8,83.9,64,5.7,80.6
5,67.7,86.6,49.7,70.8,40.5,7.1,70.4
